city,closure_layoff,company,county,effective_date,industry,notes,number_of_workers,region,state,temporary_permanent,unions,warn_received_date
New Lexington,Closure,Cooper Standard,Perry,02/06/2026-07/01/2026,None,014-25-86,228,None,Ohio,Permanent,UAW Local 1686,2025-12-15
Honolulu,Closure,JINYA Hawaii. inc. (dba JINYA Ramen Bar � Honolulu),None,2/9/26,None,None,86,None,Hawaii,Permanent,None,2025-12-15
Webberville,Closure,"C3 Industries, Inc.",Ingham,2/14/26,None,None,62,None,Michigan,Permanent,None,2025-12-15
Fort Myers,Closure,Avanti Installation,None,2/15/26,Manufacturing,None,19,None,Florida,Permanent,None,2025-12-15
Medley,Closure,Avanti Installation,None,2/15/26,Manufacturing,None,14,None,Florida,Permanent,None,2025-12-15
West Palm Beach,Closure,Avanti Installation,None,2/15/26,Manufacturing,None,19,None,Florida,Permanent,None,2025-12-15
1363 Citrus Avenue Riverside CA 92507,Layoff Permanent,"Primo Brands, Inc.",Riverside County,2/13/25,31-33 Manufacturing,None,2,None,California,None,None,2025-12-15
1522 North Newhope Street Santa Ana CA 92703,Layoff Permanent,"Primo Brands, Inc.",Orange County,2/13/26,31-33 Manufacturing,None,1,None,California,None,None,2025-12-15
2000 E El Segundo Blvd El Segundo CA 90245,Layoff Permanent,Raytheon,Los Angeles County,2/13/25,54 Professional Scientific and Technical Services,None,1,None,California,None,None,2025-12-15
221 E Alondra Boulevard Gardena CA 90248,Layoff Permanent,"Primo Brands, Inc.",Los Angeles County,2/13/26,31-33 Manufacturing,None,1,None,California,None,None,2025-12-15
"Seattle, Bellevue",Layoff,Amazon,None,2/2/26,None,None,84,None,Washington,Permanent,None,2025-12-13
Coralville,Mass Layoff,Integrated DNA Technologies,Johnson,12/12/25,Manufacturing,None,61,East Central Iowa,Iowa,None,None,2025-12-12
Madrid,Closing,Continental Manufacturing Chemist,Boone,12/15/25,Manufacturing,None,18,Central Iowa,Iowa,None,None,2025-12-12
Muncie,Closure,Spartech LLC,None,12/23/25,325211,Plastics Material and Resin Manufacturing,125,None,Indiana,None,None,2025-12-12
Muncie,Closure,Spartech LLC,None,12/23/25,325211,Plastics Material and Resin Manufacturing,125,None,Indiana,None,None,2025-12-12
Coralville,Mass Layoff,Integrated DNA Technologies,Johnson,12/12/25,Manufacturing,None,61,East Central Iowa,Iowa,None,None,2025-12-12
Madrid,Closing,Continental Manufacturing Chemist,Boone,12/15/25,Manufacturing,None,18,Central Iowa,Iowa,None,None,2025-12-12
Manassas,Closure,Giant Delivers,None,2/10/26,None,None,90,Northern,Virginia,None,Teamsters Local 639; UFCW Local 400,2025-12-12
5200 Illumina Way San Diego CA 92122,Layoff Permanent,"Illumina, Inc.",San Diego County,12/8/25,54 Professional Scientific and Technical Services,None,7,None,California,None,None,2025-12-12
3101 Busch Drive Fairfield CA 94534,Closure Permanent,"Anheuser-Busch Commercial Strategy, LLC",Solano County,2/9/26,31-33 Manufacturing,None,238,None,California,None,None,2025-12-12
Wallula,Closure,Packaging Corporation of America,None,2/9/26,None,None,200,None,Washington,Permanent,Association of Western Pulp and Paper Workers Local No. 69,2025-12-11
